,bin
2011-08-02 06:46:46.576,1
2011-08-02 12:27:07.195,0
2011-08-02 13:44:01.353,1
2011-08-02 15:02:12.277,1
2011-08-02 16:48:53.474,1
2011-08-02 17:57:51.964,1
2011-08-02 19:42:30.586,1
2011-08-03 01:53:52.265,1
2011-08-03 08:02:36.120,1
2011-08-03 13:47:59.230,1
2011-08-03 14:23:36.205,1
2011-08-03 14:37:04.871,0
2011-08-03 14:56:24.514,0
2011-08-03 15:17:23.195,1
2011-08-03 16:09:04.166,0
2011-08-03 17:35:51.773,1
2011-08-03 19:23:40.231,0
2011-08-04 01:57:00.466,0
2011-08-04 09:08:28.542,0
2011-08-04 10:27:24.326,0
2011-08-04 12:29:39.619,0
2011-08-04 13:48:11.410,1
2011-08-04 14:45:47.218,1
2011-08-04 15:27:00.898,1
2011-08-04 15:48:15.860,1
2011-08-04 16:14:47.164,1
2011-08-04 17:45:15.404,1
2011-08-04 18:19:18.324,1
2011-08-04 18:36:49.552,1
2011-08-04 19:26:07.993,1
2011-08-04 19:44:06.743,1
2011-08-04 20:01:48.966,1
2011-08-04 22:01:00.701,1
2011-08-05 06:36:24.009,1
2011-08-05 07:37:13.880,1
2011-08-05 08:31:30.648,1
2011-08-05 11:59:45.661,1
2011-08-05 12:30:19.803,1
2011-08-05 12:34:46.722,1
2011-08-05 13:24:18.074,1
2011-08-05 13:43:35.973,0
2011-08-05 13:51:55.449,0
2011-08-05 13:54:12.782,1
2011-08-05 14:09:15.969,1
2011-08-05 14:18:27.798,1
2011-08-05 14:41:48.634,1
2011-08-05 15:05:51.370,1
2011-08-05 15:27:22.850,1
2011-08-05 15:42:17.492,1
2011-08-05 15:57:57.407,0
2011-08-05 16:10:17.832,0
2011-08-05 16:16:23.584,0
2011-08-05 16:32:18.080,0
2011-08-05 16:37:11.826,0
2011-08-05 16:43:37.749,1
2011-08-05 16:49:26.004,1
2011-08-05 17:05:52.472,1
2011-08-05 17:23:37.140,0
2011-08-05 17:41:40.599,0
2011-08-05 17:54:20.090,0
2011-08-05 18:11:13.406,0
2011-08-05 18:56:50.982,0
2011-08-05 19:08:46.140,0
2011-08-05 19:39:28.296,0
2011-08-07 22:01:50.370,1
2011-08-08 00:24:32.348,1
2011-08-08 06:02:07.760,1
2011-08-08 06:57:27.756,1
2011-08-08 07:44:09.340,1
2011-08-08 08:20:54.482,1
2011-08-08 10:25:31.338,1
2011-08-08 11:19:41.703,1
2011-08-08 13:30:24.458,1
2011-08-08 13:35:46.488,1
2011-08-08 13:47:01.597,1
2011-08-08 14:17:06.533,1
2011-08-08 14:26:40.640,1
2011-08-08 14:49:40.844,1
2011-08-08 15:08:41.548,1
2011-08-08 15:33:55.106,1
2011-08-08 16:21:01.283,1
2011-08-08 17:39:49.121,1
2011-08-08 18:00:32.662,1
2011-08-08 18:05:46.450,1
2011-08-08 18:16:37.224,1
2011-08-08 18:24:17.766,1
2011-08-08 18:31:19.327,1
2011-08-08 18:35:20.715,1
2011-08-08 19:09:24.107,1
2011-08-08 19:16:11.723,1
2011-08-08 19:29:01.550,1
2011-08-08 19:45:01.392,1
2011-08-08 19:58:40.968,1
2011-08-08 20:04:13.187,1
2011-08-08 23:56:13.676,1
2011-08-09 01:35:31.563,0
2011-08-09 02:17:13.388,0
2011-08-09 04:01:39.114,0
2011-08-09 05:52:50.256,0
2011-08-09 06:31:25.659,1
2011-08-09 07:01:51.362,1
2011-08-09 07:11:29.812,1
2011-08-09 07:35:18.964,1
2011-08-09 08:01:17.116,0
2011-08-09 08:32:57.986,0
2011-08-09 08:56:30.160,0
2011-08-09 09:29:24.817,0
2011-08-09 10:05:33.346,0
2011-08-09 10:53:47.995,1
2011-08-09 11:20:23.832,1
2011-08-09 11:45:26.267,1
2011-08-09 12:14:22.600,1
2011-08-09 13:27:56.910,1
2011-08-09 13:40:11.317,1
2011-08-09 13:42:36.979,1
2011-08-09 13:51:35.971,1
2011-08-09 14:00:59.696,0
2011-08-09 14:06:59.496,0
2011-08-09 14:34:00.941,0
2011-08-09 15:02:55.432,1
2011-08-09 15:29:47.050,0
2011-08-09 17:29:35.036,1
2011-08-09 18:08:54.855,1
2011-08-09 18:21:40.057,1
2011-08-09 18:24:26.492,1
